[INFO][2020-09-19 22:54:30,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:54:30 CST 2020
[INFO][2020-09-19 22:54:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:54:30 CST 2020
[INFO][2020-09-19 22:54:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:54:40 CST 2020
[INFO][2020-09-19 22:54:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:54:40 CST 2020
[INFO][2020-09-19 22:54:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:54:50 CST 2020
[INFO][2020-09-19 22:54:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:54:50 CST 2020
[INFO][2020-09-19 22:55:00,014][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:00 CST 2020
[INFO][2020-09-19 22:55:00,015][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:00 CST 2020
[INFO][2020-09-19 22:55:10,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:10 CST 2020
[INFO][2020-09-19 22:55:10,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:10 CST 2020
[INFO][2020-09-19 22:55:20,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:20 CST 2020
[INFO][2020-09-19 22:55:20,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:20 CST 2020
[INFO][2020-09-19 22:55:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:30 CST 2020
[INFO][2020-09-19 22:55:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:30 CST 2020
[INFO][2020-09-19 22:55:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:40 CST 2020
[INFO][2020-09-19 22:55:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:40 CST 2020
[INFO][2020-09-19 22:55:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:55:50 CST 2020
[INFO][2020-09-19 22:55:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:55:50 CST 2020
[INFO][2020-09-19 22:56:00,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:00 CST 2020
[INFO][2020-09-19 22:56:00,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:00 CST 2020
[INFO][2020-09-19 22:56:10,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:10 CST 2020
[INFO][2020-09-19 22:56:10,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:10 CST 2020
[INFO][2020-09-19 22:56:20,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:20 CST 2020
[INFO][2020-09-19 22:56:20,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:20 CST 2020
[INFO][2020-09-19 22:56:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:30 CST 2020
[INFO][2020-09-19 22:56:30,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:30 CST 2020
[INFO][2020-09-19 22:56:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:40 CST 2020
[INFO][2020-09-19 22:56:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:40 CST 2020
[INFO][2020-09-19 22:56:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:56:50 CST 2020
[INFO][2020-09-19 22:56:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:56:50 CST 2020
[INFO][2020-09-19 22:57:00,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:00 CST 2020
[INFO][2020-09-19 22:57:00,004][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:00 CST 2020
[INFO][2020-09-19 22:57:10,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:10 CST 2020
[INFO][2020-09-19 22:57:10,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:10 CST 2020
[INFO][2020-09-19 22:57:20,031][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:20 CST 2020
[INFO][2020-09-19 22:57:20,050][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:20 CST 2020
[INFO][2020-09-19 22:57:30,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:30 CST 2020
[INFO][2020-09-19 22:57:30,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:30 CST 2020
[INFO][2020-09-19 22:57:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:40 CST 2020
[INFO][2020-09-19 22:57:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:40 CST 2020
[INFO][2020-09-19 22:57:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:57:50 CST 2020
[INFO][2020-09-19 22:57:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:57:50 CST 2020
[INFO][2020-09-19 22:58:00,012][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:00 CST 2020
[INFO][2020-09-19 22:58:00,012][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:00 CST 2020
[INFO][2020-09-19 22:58:10,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:10 CST 2020
[INFO][2020-09-19 22:58:10,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:10 CST 2020
[INFO][2020-09-19 22:58:20,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:20 CST 2020
[INFO][2020-09-19 22:58:20,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:20 CST 2020
[INFO][2020-09-19 22:58:30,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:30 CST 2020
[INFO][2020-09-19 22:58:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:30 CST 2020
[INFO][2020-09-19 22:58:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:40 CST 2020
[INFO][2020-09-19 22:58:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:40 CST 2020
[INFO][2020-09-19 22:58:50,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:58:50 CST 2020
[INFO][2020-09-19 22:58:50,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:58:50 CST 2020
[INFO][2020-09-19 22:59:00,009][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:00 CST 2020
[INFO][2020-09-19 22:59:00,010][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:00 CST 2020
[INFO][2020-09-19 22:59:10,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:10 CST 2020
[INFO][2020-09-19 22:59:10,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:10 CST 2020
[INFO][2020-09-19 22:59:20,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:20 CST 2020
